title,link,price
"Redmi 8A Dual (Sea Blue, 32 GB)",https://www.flipkart.com/redmi-8a-dual-sea-blue-32-gb/p/itm2f3451c5d6270?pid=MOBFP73ZM26XEYZQ&lid=LSTMOBFP73ZM26XEYZQ3UMWWA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFP73ZM26XEYZQ.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹8,199"
"Mi 10i (Atlantic Blue, 128 GB)",https://www.flipkart.com/mi-10i-atlantic-blue-128-gb/p/itm780df69dfa0fe?pid=MOBFZ4RNZMVZDZVH&lid=LSTMOBFZ4RNZMVZDZVHMLH58R&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFZ4RNZMVZDZVH.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹24,495"
"Redmi Note 9 Pro (Glacier White, 64 GB)",https://www.flipkart.com/redmi-note-9-pro-glacier-white-64-gb/p/itma84d60532d415?pid=MOBFPZXU9QDDSKNU&lid=LSTMOBFPZXU9QDDSKNUEQLCOR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFPZXU9QDDSKNU.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹13,700"
"Redmi 8A Dual (Sky White, 32 GB)",https://www.flipkart.com/redmi-8a-dual-sky-white-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7FMS6GNPQFY&lid=LSTMOBFP7FMS6GNPQFYULM21O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=4ce39d0a-3b94-445f-800e-83a90b408792.MOBFP7FMS6GNPQFY.SEARCH&ppt=None&ppn=None&ssid=axl2il1exs0000001621490115356,"₹8,299"
"Redmi 8 (Ruby Red, 64 GB)",https://www.flipkart.com/redmi-8-ruby-red-64-gb/p/itm6981a578c4d90?pid=MOBFKPYDCVSCZBYR&lid=LSTMOBFKPYDCVSCZBYRGYIO4S&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=4ce39d0a-3b94-445f-800e-83a90b408792.MOBFKPYDCVSCZBYR.SEARCH&ppt=None&ppn=None&ssid=axl2il1exs0000001621490115356,"₹10,779"
"Redmi Note 7 Pro (Black, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-black-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGM2SHASI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=4ce39d0a-3b94-445f-800e-83a90b408792.MOBFDXZ36Y4DJBGM.SEARCH&ppt=None&ppn=None&ssid=axl2il1exs0000001621490115356,"₹15,999"
"Redmi Note 7 Pro (Blue, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-blue-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ376XRTZXH&lid=LSTMOBFDXZ376XRTZXHNZ5V6Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=4ce39d0a-3b94-445f-800e-83a90b408792.MOBFDXZ376XRTZXH.SEARCH&ppt=None&ppn=None&ssid=axl2il1exs0000001621490115356,"₹15,999"
"Redmi 8 (Sapphire Blue, 64 GB)",https://www.flipkart.com/redmi-8-sapphire-blue-64-gb/p/itmd1c68a1a86f5e?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7UUPURVO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=4ce39d0a-3b94-445f-800e-83a90b408792.MOBFKPYDENDXZZ7U.SEARCH&ppt=None&ppn=None&ssid=axl2il1exs0000001621490115356,"₹10,779"
"Redmi 8 (Onyx Black, 64 GB)",https://www.flipkart.com/redmi-8-onyx-black-64-gb/p/itmebd23d8a2ed1b?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXAOW16VW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=4ce39d0a-3b94-445f-800e-83a90b408792.MOBFKPYDZJQHGJXA.SEARCH&ppt=None&ppn=None&ssid=axl2il1exs0000001621490115356,"₹10,779"
"Redmi Note 7 Pro (Nebula Red, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-nebula-red-64-gb/p/itmfhuq4xscxhjud?pid=MOBFHUQ4XG4HZ4SH&lid=LSTMOBFHUQ4XG4HZ4SHISDCF1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=4ce39d0a-3b94-445f-800e-83a90b408792.MOBFHUQ4XG4HZ4SH.SEARCH&ppt=None&ppn=None&ssid=axl2il1exs0000001621490115356,"₹16,999"
